# LAMMPS data file written by OVITO Basic 3.12.4

33 atoms
3 atom types

5.02778205 0.0 3.0e-16 avec
-2.513891025 4.35418698 3.0e-16 bvec
0.0 0.0 33.113508 cvec
0.0 0.0 0.0 abc origin

Masses

1 28.0855  # Si
2 15.9994  # O
3 1.00794  # H

Atoms  # atomic

1 1 2.43373506 0.0696292 8.91256842
2 1 1.23172302 2.26469196 10.72867243
3 1 -1.26441167 1.93311655 12.52399613
4 2 1.53973495 1.28583924 9.48604044
5 2 2.59585254 2.49568241 11.55598595
6 2 3.32444706 0.53841611 13.20749627
7 2 -1.01608803 3.04789798 13.6644596
8 2 0.09612128 1.64422385 11.69941152
9 2 0.66587724 3.64810762 10.12591977
10 1 2.41091537 -0.16525562 14.34141697
11 1 1.3097157 2.10887956 16.14387766
12 1 -1.20950338 1.84681382 17.94741004
13 2 1.46760479 0.9584018 15.01655489
14 2 2.73101024 2.36533623 16.86786162
15 2 3.30517231 0.46658207 18.60822333
16 2 -1.02677311 2.9616779 19.10227279
17 2 0.2154833 1.61230765 17.22658142
18 2 0.83612319 3.49819276 15.46487014
19 1 2.45636308 -0.28543022 19.76201664
20 1 1.46227284 2.02596821 21.55528624
21 1 -1.04711803 1.92282961 23.37722004
22 2 1.50528575 0.76898632 20.53612087
23 2 2.94313057 2.19867261 22.16541348
24 2 3.60617473 0.49988844 24.09703618
25 2 -1.17702477 3.15481824 24.42067612
26 2 0.44846547 1.75934643 22.77929736
27 2 0.98804485 3.35888598 20.77463891
28 2 1.34135712 -0.81531162 8.11251228
29 3 1.41672345 -1.77215005 7.93828413
30 2 3.60941106 0.72750178 7.98447857
31 3 4.43169063 0.21239644 7.91277613
32 3 4.37970436 -0.01292446 24.39078703
33 3 -0.4526132 3.80844213 24.42266996
